base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence
pijél	pijél	hotelban/hotelben	nonce word response	pijélnál	pijélnél	2	24	-2.120263536200091	NA	NA	é	nál	Ez itt egy pijél.	Nincs is jobb egy jó...
píjlik	píjlik	lakok/lakom	nonce word response	píjlok	píjlom	18	9	0.6418538861723947	-lik	1	NA	NA	Te bizony sokat píjlasz.	Én is sokat...
pilégszik / pilégedik	pilégßik / pilégedik	cselekszenek/cselekednek	nonce word response	pilégszenek	pilégednek	18	9	0.6418538861723947	-szik	2	NA	nek	János imád pilégedni, ezért sokat pilégszik.	Ők ritkán...
piragszik	piragßik	lakok/lakom	nonce word response	piragszok	piragszom	9	17	-0.587786664902119	-szik	2	NA	NA	Te bizony sokat piragszol.	Én is sokat...
pisély	pisé¬	hotelban/hotelben	nonce word response	pisélyban	pisélyben	3	24	-1.8325814637483102	NA	NA	é	ban	Ez itt egy pisély.	Ott vagyunk a...
pítend	pítend	hotelban/hotelben	nonce word response	pítendban	pítendben	3	26	-1.9095425048844386	NA	NA	e	ban	Ez itt egy pítend.	Ott vagyunk a...
pítszik	pítßik	lakok/lakom	nonce word response	pítszok	pítszom	10	17	-0.49247648509779407	-szik	1	NA	NA	Te bizony sokat pítszol.	Én is sokat...
pivéd	pivéd	hotelban/hotelben	nonce word response	pivédban	pivédben	7	20	-0.9650808960435872	NA	NA	é	ban	Ez itt egy pivéd.	Ott vagyunk a...
pivegszik	pivegßik	lakok/lakom	nonce word response	pivegszek	pivegszem	8	21	-0.8938178760220964	-szik	2	NA	NA	Te bizony sokat pivegszel.	Én is sokat...
plágadzik	plágadzik	lakok/lakom	nonce word response	plágadzok	plágadzom	10	16	-0.4353180712578455	-zik	2	NA	NA	Te bizony sokat plágadzol.	Én is sokat...
plibzik / plibozik	plibzik / plibozik	cselekszenek/cselekednek	nonce word response	plibzotok	pliboztok	10	17	-0.49247648509779407	-zik	1	NA	tek	János imád plibozni, ezért sokat plibzik.	Ti ritkán...
plövőrzik	plövőrzik	lakok/lakom	nonce word response	plövőrzök	plövőrzöm	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat plövőrzöl.	Én is sokat...
plűbzik	plűbzik	lakok/lakom	nonce word response	plűbzök	plűbzöm	17	10	0.49247648509779424	-zik	1	NA	NA	Te bizony sokat plűbzöl.	Én is sokat...
plugzik	plugzik	lakok/lakom	nonce word response	plugzok	plugzom	12	17	-0.325422400434628	-zik	1	NA	NA	Te bizony sokat plugzol.	Én is sokat...
pörzik / pörözik	pörzik / pörözik	cselekszenek/cselekednek	nonce word response	pörzötök	pöröztök	11	16	-0.3483066942682157	-zik	1	NA	tek	János imád pörözni, ezért sokat pörzik.	Ti ritkán...
poslik / posozik	poslik / posozik	cselekszenek/cselekednek	nonce word response	poslotok	posoztok	20	9	0.7419373447293773	-lik	1	NA	tek	János imád posozni, ezért sokat poslik.	Ti ritkán...
pragánylik / pragányozik	pragá¥lik / pragá¥ozik	cselekszenek/cselekednek	nonce word response	pragánylotok	pragányoztok	13	13	0	-lik	2	NA	tek	János imád pragányozni, ezért sokat pragánylik.	Ti ritkán...
praslik	praslik	lakok/lakom	nonce word response	praslok	praslom	24	5	1.4271163556401458	-lik	1	NA	NA	Te bizony sokat praslasz.	Én is sokat...
pratánylik	pratá¥lik	lakok/lakom	nonce word response	pratánylok	pratánylom	23	6	1.2321436812926323	-lik	2	NA	NA	Te bizony sokat pratánylasz.	Én is sokat...
prately	prate¬	hotelban/hotelben	nonce word response	pratelynak	pratelynek	6	23	-1.2321436812926323	NA	NA	e	nak	Ez itt egy prately.	Elneveztem a kutyámat...
prazlik / prazozik	prazlik / prazozik	cselekszenek/cselekednek	nonce word response	prazlunk	prazozunk	13	16	-0.1941560144409575	-lik	1	NA	ünk	János imád prazozni, ezért sokat prazlik.	Mi ritkán...
préleglik	préleglik	lakok/lakom	nonce word response	préleglek	préleglem	18	9	0.6418538861723947	-lik	2	NA	NA	Te bizony sokat préleglesz.	Én is sokat...
prélemlik / prélemezik	prélemlik / prélemezik	cselekszenek/cselekednek	nonce word response	prélemlenek	prélemeznek	15	12	0.20763936477824455	-lik	2	NA	nek	János imád prélemezni, ezért sokat prélemlik.	Ők ritkán...
prezlik	prezlik	lakok/lakom	nonce word response	prezlek	prezlem	19	7	0.9162907318741551	-lik	1	NA	NA	Te bizony sokat prezlesz.	Én is sokat...
pribagszik	pribagßik	lakok/lakom	nonce word response	pribagszok	pribagszom	9	17	-0.587786664902119	-szik	2	NA	NA	Te bizony sokat pribagszol.	Én is sokat...
pribemlik	pribemlik	lakok/lakom	nonce word response	pribemlek	pribemlem	26	3	1.9095425048844386	-lik	2	NA	NA	Te bizony sokat pribemlesz.	Én is sokat...
prihegszik / prihegedik	prihegßik / prihegedik	cselekszenek/cselekednek	nonce word response	prihegszenek	prihegednek	13	16	-0.1941560144409575	-szik	2	NA	nek	János imád prihegedni, ezért sokat prihegszik.	Ők ritkán...
prihekszik	prihekßik	lakok/lakom	nonce word response	prihekszek	prihekszem	13	16	-0.1941560144409575	-szik	2	NA	NA	Te bizony sokat prihekszel.	Én is sokat...
prilegzik	prilegzik	lakok/lakom	nonce word response	prilegzek	prilegzem	11	16	-0.3483066942682157	-zik	2	NA	NA	Te bizony sokat prilegzel.	Én is sokat...
prilepszik / prilepedik	prilepßik / prilepedik	cselekszenek/cselekednek	nonce word response	prilepszünk	prilepedünk	21	8	0.8938178760220965	-szik	2	NA	ünk	János imád prilepedni, ezért sokat prilepszik.	Mi ritkán...
prínylik	prí¥lik	lakok/lakom	nonce word response	prínylok	prínylom	17	9	0.5877866649021191	-lik	1	NA	NA	Te bizony sokat prínylasz.	Én is sokat...
pristél	pristél	hotelban/hotelben	nonce word response	pristélban	pristélben	2	24	-2.120263536200091	NA	NA	é	ban	Ez itt egy pristél.	Ott vagyunk a...
priszec	prißec	hotelban/hotelben	nonce word response	priszecban	priszecben	1	26	-2.6026896854443837	NA	NA	e	ban	Ez itt egy priszec.	Ott vagyunk a...
priszkenc	prißkenc	hotelban/hotelben	nonce word response	priszkencnak	priszkencnek	2	25	-2.159484249353372	NA	NA	e	nak	Ez itt egy priszkenc.	Elneveztem a kutyámat...
privékszik / privékedik	privékßik / privékedik	cselekszenek/cselekednek	nonce word response	privékszenek	privékednek	14	13	0.06899287148695142	-szik	2	NA	nek	János imád privékedni, ezért sokat privékszik.	Ők ritkán...
prögzik / prögözik	prögzik / prögözik	cselekszenek/cselekednek	nonce word response	prögzötök	prögöztök	9	18	-0.6418538861723948	-zik	1	NA	tek	János imád prögözni, ezért sokat prögzik.	Ti ritkán...
prohódzik	prohódzik	lakok/lakom	nonce word response	prohódzok	prohódzom	7	22	-1.0560526742493137	-zik	2	NA	NA	Te bizony sokat prohódzol.	Én is sokat...
prugorzik / prugorozik	prugorzik / prugorozik	cselekszenek/cselekednek	nonce word response	prugorzotok	prugoroztok	8	19	-0.7985076962177716	-zik	2	NA	tek	János imád prugorozni, ezért sokat prugorzik.	Ti ritkán...
prűrlik	prűrlik	lakok/lakom	nonce word response	prűrlök	prűrlöm	19	7	0.9162907318741551	-lik	1	NA	NA	Te bizony sokat prűrlesz.	Én is sokat...
pugoslik	pugoslik	lakok/lakom	nonce word response	pugoslok	pugoslom	20	7	0.965080896043587	-lik	2	NA	NA	Te bizony sokat pugoslasz.	Én is sokat...
püzlik / püzözik	püzlik / püzözik	cselekszenek/cselekednek	nonce word response	püzlötök	püzöztök	13	14	-0.06899287148695143	-lik	1	NA	tek	János imád püzözni, ezért sokat püzlik.	Ti ritkán...
rájzik	rájzik	lakok/lakom	nonce word response	rájzok	rájzom	13	13	0	-zik	1	NA	NA	Te bizony sokat rájzol.	Én is sokat...
rapszek	rapßek	hotelban/hotelben	nonce word response	rapszeknál	rapszeknél	6	23	-1.2321436812926323	NA	NA	e	nál	Ez itt egy rapszek.	Nincs is jobb egy jó...
ribegszik / ribegedik	ribegßik / ribegedik	cselekszenek/cselekednek	nonce word response	ribegszetek	ribegedtek	11	15	-0.2876820724517809	-szik	2	NA	tek	János imád ribegedni, ezért sokat ribegszik.	Ti ritkán...
ribegzik	ribegzik	lakok/lakom	nonce word response	ribegzek	ribegzem	13	16	-0.1941560144409575	-zik	2	NA	NA	Te bizony sokat ribegzel.	Én is sokat...
ribzik	ribzik	lakok/lakom	nonce word response	ribzok	ribzom	10	19	-0.5978370007556204	-zik	1	NA	NA	Te bizony sokat ribzol.	Én is sokat...
riványlik / riványozik	rivá¥lik / rivá¥ozik	cselekszenek/cselekednek	nonce word response	riványlotok	riványoztok	14	13	0.06899287148695142	-lik	2	NA	tek	János imád riványozni, ezért sokat riványlik.	Ti ritkán...
rokszik	rokßik	lakok/lakom	nonce word response	rokszok	rokszom	11	16	-0.3483066942682157	-szik	1	NA	NA	Te bizony sokat rokszol.	Én is sokat...
ronszek	ronßek	hotelban/hotelben	nonce word response	ronszekban	ronszekben	6	20	-1.0986122886681098	NA	NA	e	ban	Ez itt egy ronszek.	Ott vagyunk a...
ronvet	ronvet	hotelban/hotelben	nonce word response	ronvetnak	ronvetnek	5	24	-1.4271163556401458	NA	NA	e	nak	Ez itt egy ronvet.	Elneveztem a kutyámat...
ruslik	ruslik	lakok/lakom	nonce word response	ruslok	ruslom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat ruslasz.	Én is sokat...
salárzik	salárzik	lakok/lakom	nonce word response	salárzok	salárzom	15	12	0.20763936477824455	-zik	2	NA	NA	Te bizony sokat salárzol.	Én is sokat...
sartely	sarte¬	hotelban/hotelben	nonce word response	sartelyban	sartelyben	9	17	-0.587786664902119	NA	NA	e	ban	Ez itt egy sartely.	Ott vagyunk a...
sihen	sihen	hotelban/hotelben	nonce word response	sihennál	sihennél	1	26	-2.6026896854443837	NA	NA	e	nál	Ez itt egy sihen.	Nincs is jobb egy jó...
siladzik	siladzik	lakok/lakom	nonce word response	siladzok	siladzom	10	16	-0.4353180712578455	-zik	2	NA	NA	Te bizony sokat siladzol.	Én is sokat...
sojzik	sojzik	lakok/lakom	nonce word response	sojzok	sojzom	11	18	-0.4595323293784402	-zik	1	NA	NA	Te bizony sokat sojzol.	Én is sokat...
sortem	sortem	hotelban/hotelben	nonce word response	sortemnál	sortemnél	5	24	-1.4271163556401458	NA	NA	e	nál	Ez itt egy sortem.	Nincs is jobb egy jó...
spábét	spábét	hotelban/hotelben	nonce word response	spábétban	spábétben	21	6	1.1451323043030026	NA	NA	é	ban	Ez itt egy spábét.	Ott vagyunk a...
spalárzik / spalározik	spalárzik / spalározik	cselekszenek/cselekednek	nonce word response	spalárzanak	spalároznak	12	14	-0.1431008436406733	-zik	2	NA	nek	János imád spalározni, ezért sokat spalárzik.	Ők ritkán...
spanél	spanél	hotelban/hotelben	nonce word response	spanélnál	spanélnél	17	9	0.5877866649021191	NA	NA	é	nál	Ez itt egy spanél.	Nincs is jobb egy jó...
spáraklik	spáraklik	lakok/lakom	nonce word response	spáraklok	spáraklom	18	11	0.45953232937844013	-lik	2	NA	NA	Te bizony sokat spáraklasz.	Én is sokat...
spatárzik	spatárzik	lakok/lakom	nonce word response	spatárzok	spatárzom	14	15	-0.06453852113757118	-zik	2	NA	NA	Te bizony sokat spatárzol.	Én is sokat...
spatel	spatel	hotelban/hotelben	nonce word response	spatelnak	spatelnek	4	22	-1.5260563034950494	NA	NA	e	nak	Ez itt egy spatel.	Elneveztem a kutyámat...
spáten	spáten	hotelban/hotelben	nonce word response	spátennak	spátennek	9	20	-0.7419373447293773	NA	NA	e	nak	Ez itt egy spáten.	Elneveztem a kutyámat...
spatszik	spatßik	lakok/lakom	nonce word response	spatszok	spatszom	11	16	-0.3483066942682157	-szik	1	NA	NA	Te bizony sokat spatszol.	Én is sokat...
spélszik	spélßik	lakok/lakom	nonce word response	spélszek	spélszem	16	11	0.3483066942682158	-szik	1	NA	NA	Te bizony sokat spélszel.	Én is sokat...
spéslik	spéslik	lakok/lakom	nonce word response	spéslek	spéslem	21	6	1.1451323043030026	-lik	1	NA	NA	Te bizony sokat spéslesz.	Én is sokat...
spibádzik	spibádzik	lakok/lakom	nonce word response	spibádzok	spibádzom	12	15	-0.2076393647782445	-zik	2	NA	NA	Te bizony sokat spibádzol.	Én is sokat...
spibaklik	spibaklik	lakok/lakom	nonce word response	spibaklok	spibaklom	14	13	0.06899287148695142	-lik	2	NA	NA	Te bizony sokat spibaklasz.	Én is sokat...
spibamlik / spibamozik	spibamlik / spibamozik	cselekszenek/cselekednek	nonce word response	spibamlanak	spibamoznak	17	9	0.5877866649021191	-lik	2	NA	nek	János imád spibamozni, ezért sokat spibamlik.	Ők ritkán...
spibeglik / spibegezik	spibeglik / spibegezik	cselekszenek/cselekednek	nonce word response	spibeglünk	spibegezünk	19	10	0.5978370007556204	-lik	2	NA	ünk	János imád spibegezni, ezért sokat spibeglik.	Mi ritkán...
spicet	spicet	hotelban/hotelben	nonce word response	spicetnak	spicetnek	2	25	-2.159484249353372	NA	NA	e	nak	Ez itt egy spicet.	Elneveztem a kutyámat...
spiharzik / spiharozik	spiharzik / spiharozik	cselekszenek/cselekednek	nonce word response	spiharzotok	spiharoztok	10	19	-0.5978370007556204	-zik	2	NA	tek	János imád spiharozni, ezért sokat spiharzik.	Ti ritkán...
spihegzik	spihegzik	lakok/lakom	nonce word response	spihegzek	spihegzem	14	15	-0.06453852113757118	-zik	2	NA	NA	Te bizony sokat spihegzel.	Én is sokat...
spihemlik	spihemlik	lakok/lakom	nonce word response	spihemlek	spihemlem	25	2	2.159484249353372	-lik	2	NA	NA	Te bizony sokat spihemlesz.	Én is sokat...
spilágzik	spilágzik	lakok/lakom	nonce word response	spilágzok	spilágzom	7	20	-0.9650808960435872	-zik	2	NA	NA	Te bizony sokat spilágzol.	Én is sokat...
spiráglik / spirágozik	spiráglik / spirágozik	cselekszenek/cselekednek	nonce word response	spiráglotok	spirágoztok	11	15	-0.2876820724517809	-lik	2	NA	tek	János imád spirágozni, ezért sokat spiráglik.	Ti ritkán...
spírzik	spírzik	lakok/lakom	nonce word response	spírzok	spírzom	13	13	0	-zik	1	NA	NA	Te bizony sokat spírzol.	Én is sokat...
spivejlik / spivejezik	spivejlik / spivejezik	cselekszenek/cselekednek	nonce word response	spivejlenek	spivejeznek	11	16	-0.3483066942682157	-lik	2	NA	nek	János imád spivejezni, ezért sokat spivejlik.	Ők ritkán...
spivél	spivél	hotelban/hotelben	nonce word response	spivélnak	spivélnek	5	24	-1.4271163556401458	NA	NA	é	nak	Ez itt egy spivél.	Elneveztem a kutyámat...
spizec	spizec	hotelban/hotelben	nonce word response	spizecnak	spizecnek	3	26	-1.9095425048844386	NA	NA	e	nak	Ez itt egy spizec.	Elneveztem a kutyámat...
spöklik / spöközik	spöklik / spöközik	cselekszenek/cselekednek	nonce word response	spöklünk	spöközünk	19	10	0.5978370007556204	-lik	1	NA	ünk	János imád spöközni, ezért sokat spöklik.	Mi ritkán...
sponylik / sponyozik	spo¥lik / spo¥ozik	cselekszenek/cselekednek	nonce word response	sponylanak	sponyoznak	20	9	0.7419373447293773	-lik	1	NA	nek	János imád sponyozni, ezért sokat sponylik.	Ők ritkán...
sporzem	sporzem	hotelban/hotelben	nonce word response	sporzemnak	sporzemnek	4	25	-1.6486586255873816	NA	NA	e	nak	Ez itt egy sporzem.	Elneveztem a kutyámat...
sprálszik	sprálßik	lakok/lakom	nonce word response	sprálszok	sprálszom	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat sprálszol.	Én is sokat...
sprebzik / sprebezik	sprebzik / sprebezik	cselekszenek/cselekednek	nonce word response	sprebzenek	sprebeznek	16	13	0.1941560144409574	-zik	1	NA	nek	János imád sprebezni, ezért sokat sprebzik.	Ők ritkán...
sprédlik	sprédlik	lakok/lakom	nonce word response	sprédlek	sprédlem	25	2	2.159484249353372	-lik	1	NA	NA	Te bizony sokat sprédlesz.	Én is sokat...
sprigzik / sprigozik	sprigzik / sprigozik	cselekszenek/cselekednek	nonce word response	sprigzotok	sprigoztok	5	24	-1.4271163556401458	-zik	1	NA	tek	János imád sprigozni, ezért sokat sprigzik.	Ti ritkán...
sprimlik / sprimozik	sprimlik / sprimozik	cselekszenek/cselekednek	nonce word response	sprimlunk	sprimozunk	15	12	0.20763936477824455	-lik	1	NA	ünk	János imád sprimozni, ezért sokat sprimlik.	Mi ritkán...
sprivenc	sprivenc	hotelban/hotelben	nonce word response	sprivencnál	sprivencnél	3	23	-1.791759469228055	NA	NA	e	nál	Ez itt egy sprivenc.	Nincs is jobb egy jó...
sprízem	sprízem	hotelban/hotelben	nonce word response	sprízemnál	sprízemnél	3	26	-1.9095425048844386	NA	NA	e	nál	Ez itt egy sprízem.	Nincs is jobb egy jó...
spröbzik	spröbzik	lakok/lakom	nonce word response	spröbzök	spröbzöm	15	11	0.28768207245178085	-zik	1	NA	NA	Te bizony sokat spröbzöl.	Én is sokat...
sprogzik	sprogzik	lakok/lakom	nonce word response	sprogzok	sprogzom	9	20	-0.7419373447293773	-zik	1	NA	NA	Te bizony sokat sprogzol.	Én is sokat...
sprökszik	sprökßik	lakok/lakom	nonce word response	sprökszök	sprökszöm	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat sprökszöl.	Én is sokat...
sprozlik / sprozozik	sprozlik / sprozozik	cselekszenek/cselekednek	nonce word response	sprozlanak	sprozoznak	14	12	0.14310084364067324	-lik	1	NA	nek	János imád sprozozni, ezért sokat sprozlik.	Ők ritkán...
sprudlik / sprudozik	sprudlik / sprudozik	cselekszenek/cselekednek	nonce word response	sprudlunk	sprudozunk	12	15	-0.2076393647782445	-lik	1	NA	ünk	János imád sprudozni, ezért sokat sprudlik.	Mi ritkán...
sprűrlik / sprűrözik	sprűrlik / sprűrözik	cselekszenek/cselekednek	nonce word response	sprűrlenek	sprűröznek	16	13	0.1941560144409574	-lik	1	NA	nek	János imád sprűrözni, ezért sokat sprűrlik.	Ők ritkán...
spubonylik	spubo¥lik	lakok/lakom	nonce word response	spubonylok	spubonylom	23	6	1.2321436812926323	-lik	2	NA	NA	Te bizony sokat spubonylasz.	Én is sokat...
spuborzik / spuborozik	spuborzik / spuborozik	cselekszenek/cselekednek	nonce word response	spuborzanak	spuboroznak	10	16	-0.4353180712578455	-zik	2	NA	nek	János imád spuborozni, ezért sokat spuborzik.	Ők ritkán...
spügzik / spügözik	spügzik / spügözik	cselekszenek/cselekednek	nonce word response	spügzünk	spügözünk	18	11	0.45953232937844013	-zik	1	NA	ünk	János imád spügözni, ezért sokat spügzik.	Mi ritkán...
spüjzik	spüjzik	lakok/lakom	nonce word response	spüjzök	spüjzöm	21	8	0.8938178760220965	-zik	1	NA	NA	Te bizony sokat spüjzöl.	Én is sokat...
spülöklik	spülöklik	lakok/lakom	nonce word response	spülöklök	spülöklöm	15	11	0.28768207245178085	-lik	2	NA	NA	Te bizony sokat spülöklesz.	Én is sokat...
spülőrzik	spülőrzik	lakok/lakom	nonce word response	spülőrzök	spülőrzöm	17	9	0.5877866649021191	-zik	2	NA	NA	Te bizony sokat spülőrzöl.	Én is sokat...
spülűdzik	spülűdzik	lakok/lakom	nonce word response	spülűdzök	spülűdzöm	13	16	-0.1941560144409575	-zik	2	NA	NA	Te bizony sokat spülűdzöl.	Én is sokat...
spumény	spumé¥	hotelban/hotelben	nonce word response	spuménynak	spuménynek	9	17	-0.587786664902119	NA	NA	é	nak	Ez itt egy spumény.	Elneveztem a kutyámat...
spűmlik	spűmlik	lakok/lakom	nonce word response	spűmlök	spűmlöm	23	4	1.5686159179138452	-lik	1	NA	NA	Te bizony sokat spűmlesz.	Én is sokat...
spüszlik	spüßlik	lakok/lakom	nonce word response	spüszlök	spüszlöm	14	12	0.14310084364067324	-lik	1	NA	NA	Te bizony sokat spüszlesz.	Én is sokat...
sűjlik / sűjözik	sűjlik / sűjözik	cselekszenek/cselekednek	nonce word response	sűjlünk	sűjözünk	17	9	0.5877866649021191	-lik	1	NA	ünk	János imád sűjözni, ezért sokat sűjlik.	Mi ritkán...
surnegy	surne©	hotelban/hotelben	nonce word response	surnegynál	surnegynél	9	17	-0.587786664902119	NA	NA	e	nál	Ez itt egy surnegy.	Nincs is jobb egy jó...
sűzlik	sűzlik	lakok/lakom	nonce word response	sűzlök	sűzlöm	14	12	0.14310084364067324	-lik	1	NA	NA	Te bizony sokat sűzlesz.	Én is sokat...
szanéj	ßanéj	hotelban/hotelben	nonce word response	szanéjnak	szanéjnek	15	14	0.06453852113757116	NA	NA	é	nak	Ez itt egy szanéj.	Elneveztem a kutyámat...
szibánylik	ßibá¥lik	lakok/lakom	nonce word response	szibánylok	szibánylom	19	8	0.7985076962177716	-lik	2	NA	NA	Te bizony sokat szibánylasz.	Én is sokat...
szibed	ßibed	hotelban/hotelben	nonce word response	szibedban	szibedben	2	25	-2.159484249353372	NA	NA	e	ban	Ez itt egy szibed.	Ott vagyunk a...
szihét	ßihét	hotelban/hotelben	nonce word response	szihétnak	szihétnek	2	24	-2.120263536200091	NA	NA	é	nak	Ez itt egy szihét.	Elneveztem a kutyámat...
szirlik	ßirlik	lakok/lakom	nonce word response	szirlok	szirlom	20	9	0.7419373447293773	-lik	1	NA	NA	Te bizony sokat szirlasz.	Én is sokat...
sztrajlik / sztrajozik	ßtrajlik / ßtrajozik	cselekszenek/cselekednek	nonce word response	sztrajlanak	sztrajoznak	17	10	0.49247648509779424	-lik	1	NA	nek	János imád sztrajozni, ezért sokat sztrajlik.	Ők ritkán...
sztredlik / sztredezik	ßtredlik / ßtredezik	cselekszenek/cselekednek	nonce word response	sztredletek	sztredeztek	15	11	0.28768207245178085	-lik	1	NA	tek	János imád sztredezni, ezért sokat sztredlik.	Ti ritkán...
sztremlik	ßtremlik	lakok/lakom	nonce word response	sztremlek	sztremlem	22	5	1.3437347467010947	-lik	1	NA	NA	Te bizony sokat sztremlesz.	Én is sokat...
sztrijzik	ßtrijzik	lakok/lakom	nonce word response	sztrijzok	sztrijzom	14	12	0.14310084364067324	-zik	1	NA	NA	Te bizony sokat sztrijzol.	Én is sokat...
sztritlik / sztritozik	ßtritlik / ßtritozik	cselekszenek/cselekednek	nonce word response	sztritlanak	sztritoznak	14	12	0.14310084364067324	-lik	1	NA	nek	János imád sztritozni, ezért sokat sztritlik.	Ők ritkán...
sztrozlik	ßtrozlik	lakok/lakom	nonce word response	sztrozlok	sztrozlom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat sztrozlasz.	Én is sokat...
sztruglik	ßtruglik	lakok/lakom	nonce word response	sztruglok	sztruglom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat sztruglasz.	Én is sokat...
sztrűkszik	ßtrűkßik	lakok/lakom	nonce word response	sztrűkszök	sztrűkszöm	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat sztrűkszöl.	Én is sokat...
szűslik	ßűslik	lakok/lakom	nonce word response	szűslök	szűslöm	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat szűslesz.	Én is sokat...
szutend	ßutend	hotelban/hotelben	nonce word response	szutendban	szutendben	7	19	-0.916290731874155	NA	NA	e	ban	Ez itt egy szutend.	Ott vagyunk a...
tágarzik / tágarozik	tágarzik / tágarozik	cselekszenek/cselekednek	nonce word response	tágarzunk	tágarozunk	13	14	-0.06899287148695143	-zik	2	NA	ünk	János imád tágarozni, ezért sokat tágarzik.	Mi ritkán...
táklik	táklik	lakok/lakom	nonce word response	táklok	táklom	11	15	-0.2876820724517809	-lik	1	NA	NA	Te bizony sokat táklasz.	Én is sokat...
tarhéz	tarhéz	hotelban/hotelben	nonce word response	tarhézban	tarhézben	21	6	1.1451323043030026	NA	NA	é	ban	Ez itt egy tarhéz.	Ott vagyunk a...
tibarzik / tibarozik	tibarzik / tibarozik	cselekszenek/cselekednek	nonce word response	tibarzanak	tibaroznak	13	13	0	-zik	2	NA	nek	János imád tibarozni, ezért sokat tibarzik.	Ők ritkán...
tínylik	tí¥lik	lakok/lakom	nonce word response	tínylok	tínylom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat tínylasz.	Én is sokat...
tiregzik	tiregzik	lakok/lakom	nonce word response	tiregzek	tiregzem	15	14	0.06453852113757116	-zik	2	NA	NA	Te bizony sokat tiregzel.	Én is sokat...
tivenc	tivenc	hotelban/hotelben	nonce word response	tivencban	tivencben	4	23	-1.5686159179138452	NA	NA	e	ban	Ez itt egy tivenc.	Ott vagyunk a...
töglik / tögözik	töglik / tögözik	cselekszenek/cselekednek	nonce word response	töglenek	tögöznek	23	6	1.2321436812926323	-lik	1	NA	nek	János imád tögözni, ezért sokat töglik.	Ők ritkán...
tomlik	tomlik	lakok/lakom	nonce word response	tomlok	tomlom	27	2	2.2335922215070942	-lik	1	NA	NA	Te bizony sokat tomlasz.	Én is sokat...
tosély	tosé¬	hotelban/hotelben	nonce word response	tosélyban	tosélyben	22	7	1.0560526742493137	NA	NA	é	ban	Ez itt egy tosély.	Ott vagyunk a...
trádlik	trádlik	lakok/lakom	nonce word response	trádlok	trádlom	16	10	0.4353180712578455	-lik	1	NA	NA	Te bizony sokat trádlasz.	Én is sokat...
tragzik	tragzik	lakok/lakom	nonce word response	tragzok	tragzom	13	14	-0.06899287148695143	-zik	1	NA	NA	Te bizony sokat tragzol.	Én is sokat...
trájeg	trájeg	hotelban/hotelben	nonce word response	trájegban	trájegben	5	21	-1.2992829841302609	NA	NA	e	ban	Ez itt egy trájeg.	Ott vagyunk a...
trálaklik / trálakozik	trálaklik / trálakozik	cselekszenek/cselekednek	nonce word response	trálaklanak	trálakoznak	13	13	0	-lik	2	NA	nek	János imád trálakozni, ezért sokat trálaklik.	Ők ritkán...
trálszik / trálodik	trálßik / trálodik	cselekszenek/cselekednek	nonce word response	trálszunk	trálodunk	19	7	0.9162907318741551	-szik	1	NA	ünk	János imád trálodni, ezért sokat trálszik.	Mi ritkán...
tranék	tranék	hotelban/hotelben	nonce word response	tranékban	tranékben	17	12	0.32542240043462795	NA	NA	é	ban	Ez itt egy tranék.	Ott vagyunk a...
tránély	tráné¬	hotelban/hotelben	nonce word response	tránélynak	tránélynek	21	6	1.1451323043030026	NA	NA	é	nak	Ez itt egy tránély.	Elneveztem a kutyámat...
trapszegy	trapße©	hotelban/hotelben	nonce word response	trapszegynál	trapszegynél	4	22	-1.5260563034950494	NA	NA	e	nál	Ez itt egy trapszegy.	Nincs is jobb egy jó...
treglik	treglik	lakok/lakom	nonce word response	treglek	treglem	18	8	0.7472144018302211	-lik	1	NA	NA	Te bizony sokat treglesz.	Én is sokat...
trehégszik	trehégßik	lakok/lakom	nonce word response	trehégszek	trehégszem	8	18	-0.7472144018302211	-szik	2	NA	NA	Te bizony sokat trehégszel.	Én is sokat...
tribejlik / tribejezik	tribejlik / tribejezik	cselekszenek/cselekednek	nonce word response	tribejletek	tribejeztek	10	19	-0.5978370007556204	-lik	2	NA	tek	János imád tribejezni, ezért sokat tribejlik.	Ti ritkán...
trigenc	trigenc	hotelban/hotelben	nonce word response	trigencnak	trigencnek	1	28	-2.6741486494265287	NA	NA	e	nak	Ez itt egy trigenc.	Elneveztem a kutyámat...
trihagzik	trihagzik	lakok/lakom	nonce word response	trihagzok	trihagzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat trihagzol.	Én is sokat...
trikép	trikép	hotelban/hotelben	nonce word response	triképban	triképben	3	23	-1.791759469228055	NA	NA	é	ban	Ez itt egy trikép.	Ott vagyunk a...
triklik / trikozik	triklik / trikozik	cselekszenek/cselekednek	nonce word response	triklotok	trikoztok	17	9	0.5877866649021191	-lik	1	NA	tek	János imád trikozni, ezért sokat triklik.	Ti ritkán...
